transaction_id,sender,receiver,amount,timestamp,account_age_days,transaction_type,fraud_flag,high_amount_flag,new_account_flag,amount_account_age_ratio,transaction_type_encoded
0,10095,20062,35628.82,2026-02-06 20:00:23.295295,335,IMPS,1,1,0,106.03815476190476,0
1,10017,20005,25399.36,2026-02-22 21:25:23.295295,79,RTGS,1,0,0,317.492,2
2,10065,20015,5212.94,2026-02-24 19:19:23.295295,799,IMPS,0,0,0,6.516175,0
3,10064,20055,38632.65,2026-02-18 16:50:23.295295,588,RTGS,0,1,0,65.5902376910017,2
4,10076,20014,13713.72,2026-01-01 14:51:23.295295,786,RTGS,0,0,0,17.42531130876747,2
5,10045,20053,38788.9,2026-02-24 02:46:23.295295,447,NEFT,0,1,0,86.58236607142858,1
6,10020,20035,38702.28,2025-12-30 15:41:23.295295,658,UPI,0,1,0,58.728801213960544,3
7,10048,20096,26749.28,2026-01-23 14:13:23.295295,550,UPI,0,0,0,48.546787658802174,3
8,10027,20008,2015.61,2025-12-26 16:03:23.295295,474,NEFT,0,0,0,4.243389473684211,1
9,10040,20000,19170.78,2026-02-21 20:40:23.295295,52,UPI,0,0,0,361.7128301886792,3
10,10050,20042,16964.89,2026-01-31 16:27:23.295295,437,NEFT,0,0,0,38.73262557077626,1
11,10021,20089,22356.94,2026-01-12 00:51:23.295295,935,UPI,1,0,0,23.88561965811966,3
12,10001,20067,6340.63,2026-01-07 08:36:23.295295,459,UPI,0,0,0,13.783978260869565,3
13,10070,20037,17721.87,2026-02-05 03:25:23.295295,107,RTGS,0,0,0,164.09138888888887,2
14,10009,20045,33651.05,2026-02-06 03:29:23.295295,534,RTGS,0,1,0,62.89915887850468,2
15,10066,20072,19950.56,2026-01-24 00:41:23.295295,56,IMPS,0,0,0,350.00982456140355,0
16,10017,20021,20977.27,2026-02-11 05:37:23.295295,143,RTGS,1,0,0,145.67548611111113,2
17,10078,20098,5543.49,2026-02-20 02:36:23.295295,780,RTGS,0,0,0,7.0979385403329065,2
18,10054,20043,16065.56,2026-01-25 20:34:23.295295,116,UPI,0,0,0,137.31247863247862,3
19,10059,20067,46375.3,2026-01-15 23:58:23.295295,814,UPI,0,1,0,56.90220858895706,3
20,10025,20033,45246.13,2026-01-19 06:44:23.295295,480,UPI,1,1,0,94.06679833679833,3
21,10084,20052,265.68,2026-01-19 06:19:23.295295,765,NEFT,0,0,0,0.34684073107049607,1
22,10087,20058,49740.43,2026-02-12 13:23:23.295295,24,RTGS,1,1,1,1989.6172,2
23,10038,20053,23640.72,2026-03-02 21:59:23.295295,82,RTGS,0,0,0,284.82795180722894,2
