transaction_id,sender,receiver,amount,timestamp,account_age_days,transaction_type,fraud_flag
0,10095,20062,35628.82,2026-02-06 20:00:23.295295,335,IMPS,1
1,10017,20005,25399.36,2026-02-22 21:25:23.295295,79,RTGS,1
2,10065,20015,5212.94,2026-02-24 19:19:23.295295,799,IMPS,0
3,10064,20055,38632.65,2026-02-18 16:50:23.295295,588,RTGS,0
4,10076,20014,13713.72,2026-01-01 14:51:23.295295,786,RTGS,0
5,10045,20053,38788.9,2026-02-24 02:46:23.295295,447,NEFT,0
6,10020,20035,38702.28,2025-12-30 15:41:23.295295,658,UPI,0
7,10048,20096,26749.28,2026-01-23 14:13:23.295295,550,UPI,0
8,10027,20008,2015.61,2025-12-26 16:03:23.295295,474,NEFT,0
9,10040,20000,19170.78,2026-02-21 20:40:23.295295,52,UPI,0
10,10050,20042,16964.89,2026-01-31 16:27:23.295295,437,NEFT,0
11,10021,20089,22356.94,2026-01-12 00:51:23.295295,935,UPI,1
12,10001,20067,6340.63,2026-01-07 08:36:23.295295,459,UPI,0
13,10070,20037,17721.87,2026-02-05 03:25:23.295295,107,RTGS,0
14,10009,20045,33651.05,2026-02-06 03:29:23.295295,534,RTGS,0
15,10066,20072,19950.56,2026-01-24 00:41:23.295295,56,IMPS,0
16,10017,20021,20977.27,2026-02-11 05:37:23.295295,143,RTGS,1
17,10078,20098,5543.49,2026-02-20 02:36:23.295295,780,RTGS,0
18,10054,20043,16065.56,2026-01-25 20:34:23.295295,116,UPI,0
19,10059,20067,46375.3,2026-01-15 23:58:23.295295,814,UPI,0
20,10025,20033,45246.13,2026-01-19 06:44:23.295295,480,UPI,1
21,10084,20052,265.68,2026-01-19 06:19:23.295295,765,NEFT,0
22,10087,20058,49740.43,2026-02-12 13:23:23.295295,24,RTGS,1
23,10038,20053,23640.72,2026-03-02 21:59:23.295295,82,RTGS,0
24,10050,20077,49026.96,2026-01-11 13:30:23.295295,154,NEFT,0
25,10064,20088,35076.31,2026-01-12 06:07:23.295295,801,NEFT,1
26,10085,20057,7450.51,2025-12-29 02:53:23.295295,768,IMPS,0
27,10022,20013,6037.03,2026-01-22 07:46:23.295295,985,RTGS,0
28,10020,20078,44462.91,2026-01-24 05:07:23.295295,578,IMPS,0
29,10043,20078,37277.73,2025-12-31 10:31:23.295295,429,NEFT,0
30,10083,20023,5329.14,2026-03-03 09:21:23.295295,34,RTGS,0
31,10089,20087,49289.57,2026-02-06 20:36:23.295295,309,NEFT,0
32,10090,20014,34203.03,2026-01-07 00:16:23.295295,103,RTGS,0
33,10088,20039,28518.27,2026-01-19 12:03:23.295295,208,NEFT,0
34,10011,20094,32412.89,2026-02-11 02:58:23.295295,208,NEFT,0
35,10016,20008,31843.54,2026-03-01 23:04:23.295295,379,UPI,0
36,10004,20091,7721.81,2026-02-26 06:16:23.295295,914,IMPS,0
37,10064,20078,18777.72,2026-01-14 19:19:23.295295,877,NEFT,0
38,10008,20035,44432.24,2026-01-13 15:43:23.295295,194,RTGS,0
39,10050,20068,11374.2,2026-01-13 03:04:23.295295,751,RTGS,0
40,10056,20093,24871.21,2026-01-26 17:51:23.295295,732,UPI,0
41,10026,20036,49140.53,2026-01-02 01:22:23.295295,908,UPI,0
42,10030,20089,28420.77,2026-02-21 08:07:23.295295,19,UPI,0
43,10042,20029,37299.2,2026-03-04 11:36:23.295295,439,RTGS,0
44,10050,20047,24040.25,2026-01-30 16:13:23.295295,194,IMPS,0
45,10005,20039,12996.34,2026-01-18 18:52:23.295295,574,UPI,0
46,10008,20010,46833.09,2026-02-17 23:13:23.295295,298,RTGS,0
47,10080,20009,29103.41,2026-02-02 09:25:23.295295,78,UPI,0
48,10091,20026,32694.24,2025-12-27 20:59:23.295295,530,RTGS,0
49,10058,20078,1496.72,2026-01-13 06:04:23.295295,910,RTGS,0
50,10041,20015,36442.58,2026-01-08 03:56:23.295295,754,IMPS,0
51,10016,20098,22390.78,2026-01-07 07:47:23.295295,297,RTGS,0
52,10089,20088,16424.95,2026-01-10 09:44:23.295295,755,UPI,0
53,10074,20032,48289.38,2026-01-14 08:20:23.295295,70,NEFT,0
54,10001,20044,15080.58,2026-01-01 17:59:23.295295,698,NEFT,0
55,10100,20054,11135.03,2026-01-24 15:03:23.295295,931,RTGS,0
56,10007,20091,23576.13,2026-01-24 11:54:23.295295,186,NEFT,0
57,10033,20026,2216.14,2026-01-27 08:05:23.295295,819,IMPS,0
58,10078,20077,12121.61,2026-02-11 14:59:23.295295,517,RTGS,0
59,10024,20018,26045.57,2026-02-24 10:23:23.295295,749,IMPS,0
60,10053,20072,976.42,2026-01-10 06:02:23.295295,79,UPI,0
61,10021,20030,4993.81,2026-02-07 03:13:23.295295,206,UPI,0
62,10039,20060,13196.86,2026-01-30 08:08:23.295295,56,RTGS,0
63,10020,20004,10312.72,2026-02-03 10:35:23.295295,758,IMPS,0
64,10082,20092,7558.13,2026-01-18 02:18:23.295295,339,IMPS,0
65,10081,20082,14045.67,2026-01-08 19:51:23.295295,438,IMPS,0
66,10071,20041,5672.14,2026-01-30 03:01:23.295295,778,IMPS,0
67,10007,20051,23701.98,2025-12-28 19:15:23.295295,715,RTGS,0
68,10043,20012,1487.76,2026-02-13 07:53:23.295295,287,IMPS,0
69,10019,20088,12957.7,2026-02-07 02:00:23.295295,510,NEFT,0
70,10083,20006,45750.58,2026-02-28 23:01:23.295295,590,IMPS,0
71,10052,20047,38299.19,2025-12-26 07:47:23.295295,300,UPI,0
72,10056,20067,19250.46,2026-01-03 12:19:23.295295,13,UPI,0
73,10010,20089,17246.89,2025-12-31 11:34:23.295295,27,IMPS,0
74,10002,20014,5256.98,2026-02-02 00:37:23.295295,376,IMPS,0
75,10045,20080,22493.26,2025-12-27 03:15:23.295295,893,UPI,0
76,10057,20017,5774.23,2026-01-28 20:31:23.295295,138,UPI,0
77,10012,20092,7614.65,2026-02-12 08:43:23.295295,322,UPI,0
78,10055,20052,38367.14,2026-01-29 19:18:23.295295,905,IMPS,1
79,10003,20092,8164.99,2026-03-04 14:25:23.295295,698,RTGS,0
80,10094,20016,36824.13,2026-01-20 20:22:23.295295,460,RTGS,0
81,10086,20085,46544.64,2026-02-13 01:21:23.295295,869,RTGS,0
82,10063,20040,21485.0,2026-02-02 18:53:23.295295,654,RTGS,0
83,10044,20022,18777.33,2026-01-06 09:22:23.295295,11,RTGS,0
84,10042,20042,35491.41,2026-01-10 22:37:23.295295,753,IMPS,0
85,10051,20007,18350.84,2026-01-12 13:20:23.295295,607,IMPS,0
86,10081,20031,18743.28,2026-01-31 04:38:23.295295,41,UPI,0
87,10047,20023,43806.07,2026-01-26 00:35:23.295295,878,NEFT,0
88,10059,20049,22653.49,2026-01-07 04:39:23.295295,653,IMPS,0
89,10065,20081,32092.32,2025-12-30 09:35:23.295295,444,IMPS,0
90,10032,20010,33182.98,2026-01-22 07:03:23.295295,49,NEFT,0
91,10049,20005,7804.05,2026-02-09 22:59:23.295295,569,RTGS,0
92,10030,20024,35895.4,2026-03-01 12:47:23.295295,158,IMPS,0
93,10076,20053,6148.91,2026-01-19 16:45:23.295295,345,NEFT,0
94,10044,20030,854.18,2026-01-09 22:02:23.295295,499,IMPS,0
95,10027,20072,28768.78,2026-01-02 17:51:23.295295,675,IMPS,0
96,10062,20082,46587.61,2026-02-01 01:55:23.295295,621,IMPS,0
97,10010,20024,3253.6,2026-02-02 23:34:23.295295,124,UPI,0
98,10000,20087,28267.48,2026-01-14 17:15:23.295295,447,NEFT,0
99,10093,20008,13454.74,2026-02-25 23:48:23.295295,258,NEFT,0
100,10092,20040,1651.75,2026-02-23 17:28:23.295295,299,RTGS,0
101,10047,20099,19489.03,2026-02-27 09:34:23.295295,215,NEFT,0
102,10024,20073,43723.64,2026-01-30 23:31:23.295295,772,IMPS,0
103,10088,20079,22429.52,2026-02-01 12:33:23.295295,27,IMPS,1
104,10095,20093,47513.13,2026-02-09 08:40:23.295295,899,RTGS,0
105,10044,20077,17784.73,2026-01-03 23:26:23.295295,735,NEFT,1
